from,to,edge_type,length,time_length
1,2,tree,2.194576155909082,2.194576155909082
2,3,tree,0.09977933556608587,0.09977933556608587
2,4,tree,0.2860812037727336,0.2860812037727336
3,5,tree,1.431342747215985,1.431342747215985
3,6,tree,0.18630186820664774,0.18630186820664774
4,7,tree,0.23706106462867904,0.23706106462867904
4,9,reticulation,0.37241391572600835,0.0
5,14,tree,0.274301761308847,0.274301761308847
5,15,tree,0.274301761308847,0.274301761308847
6,8,tree,1.5193426403181842,1.5193426403181842
6,9,tree,0.19974849181945883,0.0
7,11,tree,0.08882987221480798,0.08882987221480798
7,12,tree,0.0250848735937077,0.0250848735937077
9,10,tree,0.26214593822238674,0.26214593822238674
10,13,tree,0.0782266990040612,0.0782266990040612
12,10,reticulation,0.42615366044728326,0.0
